id_cliente,nome,cidade,estado,regiao
1,Maria Lima Pereira,Teresopolis,RJ,Sudeste
2,Antonio Alves Pereira,Tefe,AM,Norte
3,Marcos Silva Ferreira,Gravatai,RS,Sul
4,Francisco Martins Martins,Parintins,AM,Norte
5,Luiz Vieira Martins,Santa Maria,RS,Sul
6,Mariana Souza Carvalho,Juazeiro,BA,Nordeste
7,Renata Oliveira Vieira,Iguatu,CE,Nordeste
8,Tatiane Nunes Pereira,Porto Seguro,BA,Nordeste
9,Fabio Mendes Ribeiro,Juazeiro do Norte,CE,Nordeste
10,Diego Nunes Nunes,Itabuna,BA,Nordeste
11,Francisca Santos Souza,Ceilandia,DF,Centro-oeste
12,Felipe Rocha Lima,Foz do Iguacu,PR,Sul
13,Paulo Barbosa Silva,Duque de Caxias,RJ,Sudeste
14,Juliana Martins Ferreira,Fortaleza,CE,Nordeste
15,Luana Gomes Pereira,Angra dos Reis,RJ,Sudeste
16,Vanessa Rodrigues Rodrigues,Presidente Figueiredo,AM,Norte
17,Raquel Nunes Alves,Maues,AM,Norte
18,Antonio Ribeiro Silva,Campinas,SP,Sudeste
19,Gustavo Santos Ribeiro,Maracanau,CE,Nordeste
20,Fabio Mendes Mendes,Caxias do Sul,RS,Sul
21,Amanda Araujo Araujo,Paulista,PE,Nordeste
22,Pedro Nunes Barbosa,Maracanau,CE,Nordeste
23,Mateus Nunes Souza,Nova Iguacu,RJ,Sudeste
24,Andre Alves Carvalho,Petrolina,PE,Nordeste
25,Rodrigo Nunes Costa,Piracicaba,SP,Sudeste
26,Gabriel Santos Santos,Belo Horizonte,MG,Sudeste
27,Paulo Oliveira Vieira,Teresopolis,RJ,Sudeste
28,Ana Vieira Oliveira,Ilheus,BA,Nordeste
29,Camila Pereira Lima,Feira de Santana,BA,Nordeste
30,Guilherme Souza Oliveira,Montes Claros,MG,Sudeste
31,Amanda Gomes Ferreira,Osasco,SP,Sudeste
32,Antonia Rodrigues Lima,Cascavel,PR,Sul
33,Gabriel Alves Lima,Campos dos Goytacazes,RJ,Sudeste
34,Gabriel Rodrigues Lima,Manaus,AM,Norte
35,Gustavo Rodrigues Nunes,Olinda,PE,Nordeste
36,Gustavo Santos Martins,Camacari,BA,Nordeste
37,Isabela Rodrigues Pereira,Montes Claros,MG,Sudeste
38,Mariana Pereira Lima,Maracanau,CE,Nordeste
39,Leticia Martins Gomes,Paulista,PE,Nordeste
40,Simone Lima Martins,Campinas,SP,Sudeste
41,Marcos Santos Souza,Serra Talhada,PE,Nordeste
42,Gustavo Mendes Alves,Autazes,AM,Norte
43,Antonio Ribeiro Vieira,Coari,AM,Norte
44,Rodrigo Gomes Nunes,Uberaba,MG,Sudeste
45,Eduardo Silva Gomes,Quixada,CE,Nordeste
46,Larissa Costa Ferreira,Nova Iguacu,RJ,Sudeste
47,Pedro Rodrigues Silva,Iguatu,CE,Nordeste
48,Rodrigo Carvalho Costa,Campos dos Goytacazes,RJ,Sudeste
49,Rodrigo Rocha Barbosa,Juazeiro do Norte,CE,Nordeste
50,Vanessa Vieira Ribeiro,Maues,AM,Norte
51,Beatriz Barbosa Lima,Maracanau,CE,Nordeste
52,Rodrigo Gomes Pereira,Petropolis,RJ,Sudeste
53,Rodrigo Rodrigues Alves,Maues,AM,Norte
54,Thiago Araujo Carvalho,Fortaleza,CE,Nordeste
55,Daniel Araujo Nunes,Santa Maria,RS,Sul
56,Daniel Ribeiro Carvalho,Sao Bernardo do Campo,SP,Sudeste
57,Maria Oliveira Araujo,Guarapuava,PR,Sul
58,Gabriel Ribeiro Carvalho,Fortaleza,CE,Nordeste
59,Rafael Pereira Oliveira,Piracicaba,SP,Sudeste
60,Andre Souza Mendes,Uberaba,MG,Sudeste
61,Renata Souza Ferreira,Sao Jose dos Pinhais,PR,Sul
62,Rodrigo Alves Oliveira,Sao Jose dos Pinhais,PR,Sul
63,Gabriela Santos Martins,Tabatinga,AM,Norte
64,Claudia Costa Souza,Olinda,PE,Nordeste
65,Aline Vieira Nunes,Itabuna,BA,Nordeste
66,Felipe Pereira Barbosa,Guarulhos,SP,Sudeste
67,Pedro Martins Lima,Manaus,AM,Norte
68,Francisca Pereira Araujo,Quixada,CE,Nordeste
69,Lucas Carvalho Pereira,Caninde,CE,Nordeste
70,Diego Nunes Ribeiro,Ponta Grossa,PR,Sul
71,Camila Souza Nunes,Sao Jose dos Pinhais,PR,Sul
72,Antonia Alves Gomes,Osasco,SP,Sudeste
73,Jose Nunes Gomes,Piracicaba,SP,Sudeste
74,Felipe Ribeiro Ferreira,Campos dos Goytacazes,RJ,Sudeste
75,Ricardo Santos Rodrigues,Caxias do Sul,RS,Sul
76,Carolina Vieira Vieira,Sobral,CE,Nordeste
77,Sandra Mendes Vieira,Santa Maria,RS,Sul
78,Paulo Nunes Oliveira,Guara,DF,Centro-oeste
79,Luiz Gomes Barbosa,Samambaia,DF,Centro-oeste
80,Lucas Rodrigues Lima,Sao Jose dos Pinhais,PR,Sul
81,Leticia Souza Barbosa,Maues,AM,Norte
82,Jose Araujo Ribeiro,Erechim,RS,Sul
83,Simone Lima Mendes,Sobral,CE,Nordeste
84,Jessica Costa Oliveira,Feira de Santana,BA,Nordeste
85,Rodrigo Costa Gomes,Volta Redonda,RJ,Sudeste
86,Alexandre Carvalho Rocha,Recife,PE,Nordeste
87,Carolina Costa Barbosa,Betim,MG,Sudeste
88,Beatriz Souza Silva,Manaus,AM,Norte
89,Lucas Souza Barbosa,Colombo,PR,Sul
90,Andre Costa Pereira,Erechim,RS,Sul
91,Juliana Oliveira Lima,Ribeirao Preto,SP,Sudeste
92,Gabriela Costa Rodrigues,Camacari,BA,Nordeste
93,Fabio Ribeiro Alves,Recife,PE,Nordeste
94,Renata Carvalho Carvalho,Presidente Figueiredo,AM,Norte
95,Mariana Barbosa Souza,Olinda,PE,Nordeste
96,Marcos Ribeiro Vieira,Tefe,AM,Norte
97,Luana Costa Nunes,Ponta Grossa,PR,Sul
98,Francisco Souza Barbosa,Sorocaba,SP,Sudeste
99,Rafael Araujo Rodrigues,Juiz de Fora,MG,Sudeste
100,Bruna Vieira Pereira,Sobral,CE,Nordeste
101,Joao Barbosa Gomes,Lauro de Freitas,BA,Nordeste
102,Jessica Lima Barbosa,Nova Iguacu,RJ,Sudeste
103,Gabriela Gomes Gomes,Piracicaba,SP,Sudeste
104,Isabela Costa Gomes,Erechim,RS,Sul
105,Isabela Rodrigues Souza,Gama,DF,Centro-oeste
106,Luiz Ribeiro Araujo,Camacari,BA,Nordeste
107,Claudia Ferreira Lima,Caucaia,CE,Nordeste
108,Patricia Carvalho Nunes,Colombo,PR,Sul
109,Fernando Lima Mendes,Passo Fundo,RS,Sul
110,Vanessa Ribeiro Vieira,Guarapuava,PR,Sul
111,Jose Gomes Costa,Governador Valadares,MG,Sudeste
112,Diego Nunes Araujo,Itapipoca,CE,Nordeste
113,Aline Santos Martins,Feira de Santana,BA,Nordeste
114,Tatiane Martins Santos,Caucaia,CE,Nordeste
115,Carolina Silva Santos,Cabo Frio,RJ,Sudeste
116,Claudia Pereira Ribeiro,Juiz de Fora,MG,Sudeste
117,Paulo Souza Silva,Gama,DF,Centro-oeste
118,Jose Rodrigues Araujo,Crato,CE,Nordeste
119,Leticia Rocha Pereira,Fortaleza,CE,Nordeste
120,Mariana Carvalho Araujo,Volta Redonda,RJ,Sudeste
121,Carlos Lima Vieira,Sobradinho,DF,Centro-oeste
122,Leonardo Araujo Souza,Igarassu,PE,Nordeste
123,Thiago Barbosa Carvalho,Ilheus,BA,Nordeste
124,Priscila Costa Oliveira,Volta Redonda,RJ,Sudeste
125,Gabriela Nunes Nunes,Porto Seguro,BA,Nordeste
126,Carolina Gomes Martins,Ipatinga,MG,Sudeste
127,Amanda Nunes Martins,Gravata,PE,Nordeste
128,Tatiane Nunes Silva,Betim,MG,Sudeste
129,Amanda Silva Ferreira,Belo Horizonte,MG,Sudeste
130,Fernanda Carvalho Araujo,Foz do Iguacu,PR,Sul
131,Luana Santos Rodrigues,Paranagua,PR,Sul
132,Felipe Araujo Lima,Jaboatao dos Guararapes,PE,Nordeste
133,Gabriela Costa Rocha,Brasilia,DF,Centro-oeste
134,Pedro Rodrigues Lima,Iguatu,CE,Nordeste
135,Eduardo Pereira Rocha,Recife,PE,Nordeste
136,Fabio Oliveira Ribeiro,Petrolina,PE,Nordeste
137,Gabriel Ferreira Vieira,Jaboatao dos Guararapes,PE,Nordeste
138,Daniel Rocha Oliveira,Vitoria da Conquista,BA,Nordeste
139,Antonia Rocha Rocha,Caxias do Sul,RS,Sul
140,Paulo Vieira Rodrigues,Recanto das Emas,DF,Centro-oeste
141,Luana Mendes Vieira,Caucaia,CE,Nordeste
142,Luiz Lima Mendes,Paranagua,PR,Sul
143,Rafael Gomes Oliveira,Igarassu,PE,Nordeste
